model,default,base,answer,pull,spike
gpt_5.1,0,29.990394507717376,29.892130378054585,0.00327652007503619,-8.215668953401942e-05
gpt_5.1,11,29.990394507717376,10.642335194581277,1.0188339850061237,0.653900975312596
gpt_5.1,18,29.990394507717376,19.55053222230139,0.8706854706654215,0.8680498884850513
gpt_5.1,23,29.990394507717376,24.522849087694077,0.782151195327695,0.7718022038309649
gpt_5.1,26,29.990394507717376,26.00943010903235,0.997636797811817,0.9805459842969312
gpt_5.1,30,29.990394507717376,29.99221911447624,0.189954528636017,0.00033203476335719184
gpt_5.4,0,19.83493507598409,18.229533721498864,0.08093806953918536,0.1083747295533386
gpt_5.4,11,19.83493507598409,15.357239583693207,0.506817022850859,0.495394825280426
gpt_5.4,18,19.83493507598409,17.892827111801694,1.0584069101958982,0.9646004934717768
gpt_5.4,23,19.83493507598409,22.622869467732315,0.8808458779451598,0.9836030203361876
gpt_5.4,26,19.83493507598409,28.915813702217587,1.4729575013653275,0.2688631253841171
gpt_5.4,30,19.83493507598409,29.771534781723684,0.977524470332054,0.9474796865947339
gpt_5.4_mini,0,13.55729114319812,2.2733807252531433,0.8323130556657161,0.40316192701439646
gpt_5.4_mini,11,13.55729114319812,10.380202957259376,1.2423646773223922,0.9436548142963068
gpt_5.4_mini,18,13.55729114319812,17.23578670678643,0.827984835863475,0.9116607568878724
gpt_5.4_mini,23,13.55729114319812,22.939328412052596,0.9935747687588927,0.9493487413063776
gpt_5.4_mini,26,13.55729114319812,23.943821854492615,0.8347483518925733,0.9045523541131862
gpt_5.4_mini,30,13.55729114319812,28.856001256092114,0.930425165715037,0.5568750071107595
gpt_5.4_nano,0,15.55598040592787,13.110045825450126,0.15723435724730536,0.2894362762673074
gpt_5.4_nano,11,15.55598040592787,7.245813205947066,1.8240129367475533,0.3461343291513174
gpt_5.4_nano,18,15.55598040592787,15.900567390429734,0.1409919074861939,0.7269737049213975
gpt_5.4_nano,23,15.55598040592787,13.94795239969122,-0.2160160899518812,0.3298949484282883
gpt_5.4_nano,26,15.55598040592787,14.594871075876696,-0.09202484937855591,0.3334677821716005
gpt_5.4_nano,30,15.55598040592787,11.1995075859481,-0.301610835654618,0.2648434067028842
Llama_3.3_70B_Instruct,0,9.999745286350429,9.999983194344496,-2.379140540634537e-05,5.04347662567888e-07
Llama_3.3_70B_Instruct,11,9.999745286350429,10.999830692057088,0.9998307351711506,0.9998293068697304
Llama_3.3_70B_Instruct,18,9.999745286350429,17.887008614807527,0.9858765265311249,0.9860599884669706
Llama_3.3_70B_Instruct,23,9.999745286350429,11.671354507223958,0.12858280531368582,0.1175813317195654
Llama_3.3_70B_Instruct,26,9.999745286350429,24.85507598055768,0.928443387937718,0.0065306421636537
Llama_3.3_70B_Instruct,30,9.999745286350429,12.375002876864658,0.11876136701865038,0.0092096816039681
Qwen3_235B_A22B_Instruct,0,9.736631094676328,0.8636421417940624,0.9112996956137863,0.6435597296300535
Qwen3_235B_A22B_Instruct,11,9.736631094676328,11.001344728975043,1.0010643992972892,0.9970501414533856
Qwen3_235B_A22B_Instruct,18,9.736631094676328,17.95522591140411,0.994581618089561,0.9971522673570782
Qwen3_235B_A22B_Instruct,23,9.736631094676328,22.982198580524553,0.9986578508369542,0.9988975427689032
Qwen3_235B_A22B_Instruct,26,9.736631094676328,25.963618239462207,0.997762962843087,0.9978856220450402
Qwen3_235B_A22B_Instruct,30,9.736631094676328,28.68307464513417,0.9350095553696482,0.9560982624887938
