extraction1,extraction2,extraction3,extraction4,extraction5,extraction6,extraction7,extraction8,extraction9,extraction10,Treatment,count
23,29,23,27,23,30,19,14,16,18,Self-serving,1
25,15,10,30,18,20,10,12,5,15,Control,1
23,29,20,23,15,17,13,12,13,15,Self-serving,1
23,28,29,26,25,24,25,16,22,16,Self-serving,1
23,28,23,23,27,23,19,15,23,30,Self-serving,1
23,27,30,28,29,29,28,28,29,28,Self-serving,1
23,27,15,30,10,12,7,5,15,15,Self-serving,1
23,25,30,25,30,18,15,20,23,26,Self-serving,1
23,25,28,15,18,23,15,16,19,20,Self-serving,1
23,25,20,25,17,19,17,19,17,17,Self-serving,1
23,25,20,23,18,25,17,25,12,24,Self-serving,1
23,25,20,15,15,25,19,15,15,15,Self-serving,1
25,14,10,15,15,14,6,20,15,15,Self-serving,1
25,17,23,20,24,25,17,17,20,29,Control,1
23,10,13,10,11,12,18,12,9,11,Self-serving,1
30,15,1,30,25,20,1,10,7,22,Control,1
30,30,25,27,20,17,30,25,30,25,Control,1
30,30,13,20,9,30,25,5,14,30,Self-serving,1
30,23,28,29,15,20,30,20,1,30,Self-serving,1
30,23,25,25,25,25,25,30,25,30,Self-serving,1
30,23,18,18,18,18,18,15,18,18,Self-serving,1
30,21,30,3,10,12,15,30,25,12,Control,1
30,15,23,26,26,30,15,17,21,15,Self-serving,1
30,15,20,30,30,23,17,19,17,19,Pro-social,1
30,15,20,10,30,25,25,25,28,29,Self-serving,1
30,15,16,20,18,25,18,23,27,18,Pro-social,1
30,11,30,30,19,30,25,30,15,17,Pro-social,1
25,19,10,15,13,30,12,5,15,17,Control,1
30,10,15,8,15,15,15,7,20,30,Self-serving,1
30,8,23,30,30,30,25,5,30,30,Self-serving,1
29,18,19,14,20,19,18,17,16,17,Self-serving,1
28,30,29,25,2,30,30,28,25,10,Control,1
28,23,23,23,23,12,7,26,5,1,Self-serving,1
28,20,30,15,17,16,14,15,15,15,Control,1
26,21,20,17,22,22,24,22,24,21,Self-serving,1
25,20,15,20,30,15,17,15,10,20,Pro-social,1
25,20,15,15,20,20,15,20,20,15,Control,1
25,19,20,20,15,14,14,15,15,16,Self-serving,1
23,24,23,26,26,20,23,23,24,22,Pro-social,1
23,23,30,23,23,18,25,23,23,23,Self-serving,1
23,23,28,20,23,23,23,14,23,15,Self-serving,1
23,13,13,12,11,11,11,13,17,27,Self-serving,1
23,15,20,21,23,30,15,18,10,30,Self-serving,1
23,15,20,17,15,18,16,21,15,13,Self-serving,1
23,15,17,23,30,9,14,17,19,15,Self-serving,1
23,15,17,14,12,15,15,19,20,30,Self-serving,1
23,15,15,30,10,15,30,20,15,20,Self-serving,1
23,15,15,15,15,15,15,15,12,15,Self-serving,1
23,15,12,12,12,12,12,12,12,12,Self-serving,1
23,14,15,30,25,18,26,24,20,15,Self-serving,1
23,13,23,30,23,28,14,10,25,25,Self-serving,1
23,13,23,26,12,16,14,14,20,10,Self-serving,1
23,13,6,8,10,13,15,15,15,15,Self-serving,1
23,23,24,20,30,23,10,30,10,15,Self-serving,1
23,12,24,17,27,17,17,14,17,13,Self-serving,1
23,12,24,8,28,18,18,18,16,16,Self-serving,1
23,11,11,15,11,11,13,11,11,11,Self-serving,1
23,10,30,30,15,15,15,30,1,30,Self-serving,1
23,10,30,10,23,6,15,17,15,15,Self-serving,1
23,10,30,1,26,10,1,23,10,22,Self-serving,1
23,10,15,20,13,15,10,15,15,20,Self-serving,1
23,10,15,12,14,12,13,13,13,13,Self-serving,1
23,10,15,11,8,15,11,11,8,16,Self-serving,1
