game,model,anchor,wording,raw_spike,base_p,net_pull,W_D_base,W_D_def,w_pull,coverage_def,coverage_base,excluded,exclude_reason
CPR,gpt_5.1,0,V0_true,0.0,8.215668953401942e-05,-8.215668953401942e-05,29.990394507717376,29.892130378054585,0.0032765200750362045,0.9998683560236689,0.9999580886300995,False,
CPR,gpt_5.1,11,V0_true,0.653900975312596,0.0,0.653900975312596,18.992835178898805,0.42768868563137696,0.9774815775737082,0.9813618294503546,0.9999580886300995,False,
CPR,gpt_5.1,18,V0_true,0.8680498884850513,0.0,0.8680498884850513,11.995484144741004,1.5561607089410776,0.8702711211849401,0.999687306297795,0.9999580886300995,False,
CPR,gpt_5.1,23,V0_true,0.7718022038309649,0.0,0.7718022038309649,6.999840810005483,1.576461606542304,0.774786077379227,0.9978635242782443,0.9999580886300995,False,
CPR,gpt_5.1,26,V0_true,0.9805459842969312,0.0,0.9805459842969312,4.003462181111371,0.0834866116522674,0.9791463968246875,0.9990635737276408,0.9999580886300995,False,
CPR,gpt_5.1,30,V0_true,0.9997003328191272,0.99936829805577,0.00033203476335719184,0.008348151185609554,0.0063803211671303916,0.23572045770700523,0.9999533145214458,0.9999580886300995,False,
CPR,gpt_5.4,0,V0_true,0.1083747295533386,0.0,0.1083747295533386,19.834935075984085,18.22953372149886,0.08093806953918525,0.999075952902839,0.9917467537992041,False,
CPR,gpt_5.4,11,V0_true,0.495394825280426,0.0,0.495394825280426,9.015530396451616,4.458553427523834,0.5054585552416686,0.990789650560852,0.9917467537992041,False,
CPR,gpt_5.4,18,V0_true,0.9646004934717768,0.0,0.9646004934717768,2.7019704056686304,0.2120072917238856,0.9215360422604546,0.9822677677821006,0.9917467537992041,False,
CPR,gpt_5.4,23,V0_true,0.9836030203361876,0.0,0.9836030203361876,3.6039075472090576,0.0,1.0,0.9836030203361876,0.9917467537992041,False,
CPR,gpt_5.4,26,V0_true,0.2688631253841171,0.0,0.2688631253841171,6.309718971830336,2.9233829922974057,0.5366857057582416,0.9997088734584685,0.9917467537992041,False,
CPR,gpt_5.4,30,V0_true,0.9923844927241228,0.0449048061293889,0.9474796865947339,9.917467537992042,0.0,1.0,0.9923844927241228,0.9917467537992041,False,
CPR,gpt_5.4_mini,0,V0_true,0.9231815651925368,0.5200196381781403,0.40316192701439646,13.557291143198116,2.2733807252531433,0.8323130556657161,0.9989609227009749,0.9953883446252241,False,
CPR,gpt_5.4_mini,11,V0_true,0.9436548142963068,0.0,0.9436548142963068,14.048451392239741,0.5167998743053751,0.9632130360937255,0.9906366210513409,0.9953883446252241,False,
CPR,gpt_5.4_mini,18,V0_true,0.9116607568878724,0.0,0.9116607568878724,14.361007914357135,1.3794066351326255,0.9039477839327983,0.9974710486486262,0.9953883446252241,False,
CPR,gpt_5.4_mini,23,V0_true,0.9493487413063776,0.0,0.9493487413063776,15.006524603141056,0.2576717178013797,0.9828293542565182,0.9861589867065746,0.9953883446252241,False,
CPR,gpt_5.4_mini,26,V0_true,0.9045523541131862,0.0,0.9045523541131862,15.56273942846286,1.6311167253115875,0.8951908992109435,0.9836514838386231,0.9953883446252241,False,
CPR,gpt_5.4_mini,30,V0_true,0.9618667085364038,0.4049917014256443,0.5568750071107595,16.304359195558604,1.118868589896144,0.9313761076730369,0.9991623281996086,0.9953883446252241,False,
CPR,gpt_5.4_nano,0,V0_true,0.2894362762673074,0.0,0.2894362762673074,15.555980405927867,13.110045825450118,0.1572343572473056,0.9481378424900382,0.9437609122397884,False,
CPR,gpt_5.4_nano,11,V0_true,,,,,,,0.7813432919062699,0.9437609122397884,True,coverage<0.90
CPR,gpt_5.4_nano,18,V0_true,0.7269737049213975,0.0,0.7269737049213975,4.5375695017329996,1.0292361303409963,0.7731745750785949,0.9199736310832989,0.9437609122397884,False,
CPR,gpt_5.4_nano,23,V0_true,,,,,,,0.8741783890684003,0.9437609122397884,True,coverage<0.90
CPR,gpt_5.4_nano,26,V0_true,,,,,,,0.8297453190284236,0.9437609122397884,True,coverage<0.90
CPR,gpt_5.4_nano,30,V0_true,0.3158778976377256,0.0510344909348414,0.2648434067028842,12.756846961265785,18.103277412838352,-0.41910281339943856,0.9767594999595484,0.9437609122397884,False,
CPR,Llama_3.3_70B_Instruct,0,V0_true,5.04347662567888e-07,0.0,5.04347662567888e-07,9.999745286350427,9.999983194344495,-2.379140540642588e-05,1.0000000185734745,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,11,V0_true,0.9998293068697304,0.0,0.9998293068697304,1.0002632214290204,0.00018634042434637987,0.9998137086115391,0.999998782853694,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,18,V0_true,0.9860599884669706,0.0,0.9860599884669706,8.000244690221576,0.1154533335653396,0.985568774701797,1.0001367749096035,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,23,V0_true,0.1175813317195654,0.0,0.1175813317195654,13.000233968425276,11.36020435878062,0.12615385335586482,0.9996671411244039,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,26,V0_true,0.0065306421636537,0.0,0.0065306421636537,16.000228678349046,1.1310121916018567,0.9293127483151349,0.9994649296984436,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,30,V0_true,0.0092096816039681,0.0,0.0092096816039681,20.000224672918193,17.613460030320496,0.11933689154150129,0.999615430239505,0.9999989986422873,False,
CPR,Qwen3_235B_A22B_Instruct,0,V0_true,,,,,,,0.9977601500779183,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,11,V0_true,,,,,,,0.9994888309999722,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,18,V0_true,,,,,,,0.9976003230134409,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,23,V0_true,,,,,,,0.9992425627500499,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,26,V0_true,,,,,,,0.9988114485513958,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,30,V0_true,,,,,,,0.9561405193122458,0.8843560259895261,True,coverage<0.90
CPR,Llama_3.3_70B_Instruct,18,V1,0.999845516693775,0.0,0.999845516693775,8.000244690221576,0.0012699954151854979,0.9998412554285073,0.999999294777392,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,18,V2,4.222851277057527e-06,0.0,4.222851277057527e-06,8.000244690221576,8.006367351834031,-0.0007653092935941963,1.000005103363445,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,18,V3,0.9946433047341442,0.0,0.9946433047341442,8.000244690221576,0.04302795985804726,0.9946216695208536,1.0000121068468757,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,18,V4,0.05554148833106887,0.0,0.05554148833106887,8.000244690221576,7.7114795686425435,0.036094536199871574,0.9994679300305621,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,26,V1,0.00021659095137688503,0.0,0.00021659095137688503,16.000228678349046,1.9252071277243847,0.879676274231661,1.0002173645192873,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,26,V2,0.0,0.0,0.0,16.000228678349046,17.929135356115168,-0.12055494434128011,1.0002699204567946,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,26,V3,0.0005035890497369525,0.0,0.0005035890497369525,16.000228678349046,15.851232247990605,0.009312143804548145,0.9994639381228649,0.9999989986422873,False,
CPR,Llama_3.3_70B_Instruct,26,V4,0.0,0.0,0.0,16.000228678349046,17.636048406238405,-0.10223727177742736,0.9998120951490012,0.9999989986422873,False,
CPR,Qwen3_235B_A22B_Instruct,18,V1,,,,,,,0.9985440469529513,0.8843560259895261,True,coverage<0.90
CPR,Qwen3_235B_A22B_Instruct,18,V2,,,,,,,0.926278744023141,0.8843560259895261,True,coverage<0.90
